ob_code,ra,dec,equinox,priority,exptime,resolution,proposal_id,rank,grade
obj0_eet7200,242.174287,54.257183,J2000.0,6.0,7200.0,L,S24B-QN017,8.0,a
obj1_eet7200,243.575448,54.23577,J2000.0,6.0,7200.0,L,S24B-QN017,8.0,a
obj2_eet7200,242.027669,54.263303,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj3_eet7200,243.623591,54.256614,J2000.0,3.0,7200.0,L,S24B-QN017,8.0,a
obj4_eet7200,242.870034,54.252008,J2000.0,9.0,7200.0,L,S24B-QN017,8.0,a
obj5_eet7200,242.90134,54.251474,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj6_eet7200,242.903046,54.252195,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj7_eet7200,243.847792,54.263407,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
obj8_eet7200,242.219791,54.243649,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj9_eet7200,243.490362,54.240712,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj10_eet7200,243.49463,54.240086,J2000.0,9.0,7200.0,L,S24B-QN017,8.0,a
obj11_eet7200,242.617887,54.258394,J2000.0,7.0,7200.0,L,S24B-QN017,8.0,a
obj12_eet7200,244.001058,54.256741,J2000.0,9.0,7200.0,L,S24B-QN017,8.0,a
obj13_eet1800,243.517633,54.254705,J2000.0,6.0,1800.0,L,S24B-QN017,8.0,a
obj14_eet7200,242.803986,54.252338,J2000.0,1.0,7200.0,L,S24B-QN017,8.0,a
obj15_eet1800,242.8584,54.255817,J2000.0,5.0,1800.0,L,S24B-QN017,8.0,a
obj16_eet7200,242.506658,54.262923,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj17_eet7200,242.123522,54.277576,J2000.0,4.0,7200.0,L,S24B-QN017,8.0,a
obj18_eet7200,242.79499,54.225953,J2000.0,2.0,7200.0,L,S24B-QN017,8.0,a
