ob_code,obj_id,ra,dec,equinox,exptime,priority,resolution
obj0_eet1800,108800022277195954,2.2279,0.671318,J2000,1800,9,L
obj1_eet1800,107090020267031193,2.026864,-0.757738,J2000,1800,4,L
obj2_eet1800,107110020863611906,2.086354,-0.74046,J2000,1800,4,L
obj3_eet1800,108800022224125409,2.222372,0.670705,J2000,1800,1,L
obj4_eet1800,108800022259982920,2.226035,0.668732,J2000,1800,9,L
obj5_eet1800,108750021612665863,2.161318,0.629507,J2000,1800,1,L
obj6_eet1200,108780025234992333,2.523557,0.651532,J2000,1200,6,L
obj7_eet1800,107070021004658399,2.100462,-0.768386,J2000,1800,8,L
obj8_eet1800,107100022307735602,2.230881,-0.745712,J2000,1800,9,L
obj9_eet1800,107080022191693296,2.219091,-0.764435,J2000,1800,9,L
obj10_eet1800,107040022955545895,2.295581,-0.795466,J2000,1800,5,L
obj11_eet1800,108750019745400158,1.974546,0.624748,J2000,1800,8,L
obj12_eet1800,107080022417676367,2.241748,-0.761807,J2000,1800,8,L
obj13_eet1200,107190019785949148,1.978571,-0.667706,J2000,1200,1,L
obj14_eet1800,108780022092644652,2.209343,0.653551,J2000,1800,3,L
obj15_eet1200,108650018178426569,1.817865,0.546774,J2000,1200,4,L
obj16_eet1200,107240019515755659,1.951685,-0.628881,J2000,1200,4,L
obj17_eet1800,107220020778269931,2.077865,-0.642154,J2000,1800,3,L
obj18_eet1800,107200022517685927,2.251757,-0.662124,J2000,1800,2,L
obj19_eet1800,107240017841615941,1.784146,-0.628819,J2000,1800,4,L
obj20_eet1800,107230024282253439,2.428155,-0.63913,J2000,1800,1,L
obj21_eet1800,107230024362434233,2.436136,-0.638457,J2000,1800,4,L
obj22_eet1800,107200018223036401,1.82233,-0.661859,J2000,1800,7,L
obj23_eet1800,107210021093181852,2.109234,-0.65718,J2000,1800,8,L
obj24_eet1800,107200020709543124,2.070993,-0.664442,J2000,1800,7,L
obj25_eet1800,107200020215184779,2.021589,-0.663009,J2000,1800,7,L
obj26_eet1200,107220020509050881,2.050908,-0.649644,J2000,1200,1,L
obj27_eet1800,107210020729378333,2.072763,-0.651817,J2000,1800,8,L
obj28_eet1800,107200022068097084,2.206766,-0.661035,J2000,1800,3,L
obj29_eet1200,107250022988813198,2.298896,-0.622711,J2000,1200,8,L
obj30_eet1200,107200024103393833,2.41038,-0.663812,J2000,1200,6,L
obj31_eet1800,108590025292366252,2.529276,0.496477,J2000,1800,4,L
obj32_eet1800,108870019973960631,1.997378,0.725141,J2000,1800,3,L
obj33_eet1800,107130023678972585,2.367991,-0.72308,J2000,1800,9,L
obj34_eet1800,107170019794449606,1.979441,-0.684023,J2000,1800,8,L
obj35_eet1800,108840022607782201,2.260895,0.701498,J2000,1800,8,L
obj36_eet1800,108840022334022091,2.23349,0.701326,J2000,1800,7,L
obj37_eet1800,107210020175252764,2.017617,-0.656382,J2000,1800,1,L
obj38_eet1800,107210021996465931,2.199793,-0.653861,J2000,1800,6,L
obj39_eet1800,108560025689143541,2.56895,0.469239,J2000,1800,1,L
obj40_eet1800,108480029038933303,2.903964,0.402433,J2000,1800,1,L
obj41_eet1800,107200021073964614,2.107416,-0.663204,J2000,1800,4,L
obj42_eet1800,107170019448385552,1.944927,-0.687623,J2000,1800,9,L
obj43_eet1800,107140024057834132,2.405715,-0.713492,J2000,1800,8,L
obj44_eet1800,107260026798817794,2.679874,-0.610576,J2000,1800,6,L
obj45_eet1800,108800024880827726,2.488132,0.672684,J2000,1800,3,L
obj46_eet1200,107130019940555518,1.994049,-0.720879,J2000,1200,3,L
obj47_eet1800,108800023829142839,2.382848,0.668654,J2000,1800,3,L
obj48_eet1800,108810018582865985,1.858239,0.6796,J2000,1800,3,L
obj49_eet1800,107140024604321094,2.460499,-0.716107,J2000,1800,4,L
obj50_eet1800,107050023073196921,2.307331,-0.786262,J2000,1800,6,L
