obj_id,ra,dec,equinox,priority,exptime,resolution,comment
C20a1nW07609_1,146.043346,0.498588,J2000,0,5400,M,
C20a1nW07609_2,146.024076,0.515949,J2000,0,4500,M,
C20a1nW07609_3,146.041783,0.521289,J2000,0,8100,M,
C20a1nW07609_4,146.018529,0.532046,J2000,0,7200,M,
C20a1nW07609_5,146.069709,0.538906,J2000,0,7200,M,
C20a1nW07609_6,146.05155,0.539589,J2000,0,3600,M,
C20a1nW07609_7,146.025834,0.548003,J2000,0,6300,M,
C20a1nW07609_8,146.044123,0.549097,J2000,0,6300,M,
C20a1nW07609_9,146.018034,0.552786,J2000,0,8100,M,
C20a1nW07609_10,146.033334,0.560772,J2000,0,7200,M,
C20a1nW07609_11,146.053819,0.560735,J2000,0,5400,M,
C20a1nW07609_12,146.051099,0.483679,J2000,0,7200,M,
C20a1nW07609_13,146.080427,0.507854,J2000,0,7200,M,
C20a1nW07609_14,146.023154,0.508969,J2000,0,5400,M,
C20a1nW07609_15,146.022882,0.509293,J2000,0,4500,M,
C20a1nW07609_16,146.069516,0.509027,J2000,0,7200,M,
C20a1nW07609_17,146.042548,0.510464,J2000,0,6300,M,
C20a1nW07609_18,146.037029,0.515403,J2000,0,6300,M,
C20a1nW07609_19,146.084242,0.51737,J2000,0,4500,M,
C20a1nW07609_20,146.089806,0.518036,J2000,0,9000,M,
C20a1nW07609_21,146.025629,0.522631,J2000,0,8100,M,
C20a1nW07609_22,146.023715,0.524386,J2000,0,3600,M,
C20a1nW07609_23,146.070893,0.52606,J2000,0,4500,M,
C20a1nW07609_24,146.044193,0.532733,J2000,0,5400,M,
C20a1nW07609_25,146.060463,0.530005,J2000,0,4500,M,
C20a1nW07609_26,146.055751,0.531576,J2000,0,6300,M,
C20a1nW07609_27,146.040795,0.532586,J2000,0,6300,M,
C20a1nW07609_28,146.039242,0.53276,J2000,0,5400,M,
C20a1nW07609_29,146.04255,0.533662,J2000,0,5400,M,
C20a1nW07609_30,146.043013,0.533907,J2000,0,9000,M,
C20a1nW07609_31,146.064361,0.5358,J2000,0,4500,M,
C20a1nW07609_32,146.044781,0.534337,J2000,0,7200,M,
C20a1nW07609_33,146.044974,0.536002,J2000,0,6300,M,
C20a1nW07609_34,146.046439,0.534207,J2000,0,7200,M,
C20a1nW07609_35,146.015315,0.536459,J2000,0,6300,M,
C20a1nW07609_36,146.022392,0.537368,J2000,0,8100,M,
C20a1nW07609_37,146.022426,0.537772,J2000,0,8100,M,
C20a1nW07609_38,146.048566,0.538255,J2000,0,5400,M,
C20a1nW07609_39,146.062337,0.538262,J2000,0,4500,M,
C20a1nW07609_40,146.02003,0.541915,J2000,0,7200,M,
C20a1nW07609_41,146.068717,0.543259,J2000,0,4500,M,
C20a1nW07609_42,146.059114,0.54533,J2000,0,4500,M,
C20a1nW07609_43,146.026051,0.544688,J2000,0,3600,M,
C20a1nW07609_44,146.026523,0.545181,J2000,0,8100,M,
C20a1nW07609_45,146.04311,0.545184,J2000,0,7200,M,
C20a1nW07609_46,146.043313,0.545246,J2000,0,3600,M,
C20a1nW07609_47,146.036335,0.546077,J2000,0,4500,M,
C20a1nW07609_48,146.031159,0.552779,J2000,0,4500,M,
C20a1nW07609_49,146.030475,0.553126,J2000,0,8100,M,
C20a1nW07609_50,146.014245,0.556313,J2000,0,6300,M,
C20a1nW07609_51,146.017218,0.555755,J2000,0,3600,M,
C20a1nW07609_52,146.05552,0.557075,J2000,0,9000,M,
C20a1nW07609_53,146.068772,0.560822,J2000,0,4500,M,
C20a1nW07609_54,146.04965,0.565043,J2000,0,8100,M,
C20a1nW07609_55,146.017104,0.578792,J2000,0,7200,M,
C20a1nW07609_56,146.003595,0.546598,J2000,0,8100,M,
C20a1nW07609_57,146.012656,0.547761,J2000,0,9000,M,
C20a1nW07609_58,146.000984,0.549283,J2000,0,9000,M,
C20a1nW07609_59,146.002739,0.496702,J2000,0,5400,M,
C20a1nW07609_60,146.004723,0.50983,J2000,0,3600,M,
C20a1nW07609_61,145.999019,0.522891,J2000,0,8100,M,
C20a1nW07609_62,145.995706,0.526879,J2000,0,9000,M,
C20a1nW07609_63,145.988677,0.529136,J2000,0,6300,M,
C20a1nW07609_64,146.005448,0.530907,J2000,0,7200,M,
C20a1nW07609_65,145.993068,0.533478,J2000,0,5400,M,
C20a1nW07609_66,146.00279,0.535779,J2000,0,5400,M,
C20a1nW07609_67,146.010472,0.536813,J2000,0,7200,M,
C20a1nW07609_68,145.999633,0.537057,J2000,0,7200,M,
C20a1nW07609_69,146.00397,0.538484,J2000,0,5400,M,
C20a1nW07609_70,145.992153,0.541234,J2000,0,8100,M,
C20a1nW07609_71,146.006504,0.54191,J2000,0,9000,M,
C20a1nW07609_72,146.00009,0.544333,J2000,0,4500,M,
C20a1nW07609_73,146.000825,0.542848,J2000,0,4500,M,
C20a1nW07609_74,146.00331,0.543392,J2000,0,5400,M,
C20a1nW07609_75,146.007824,0.544271,J2000,0,8100,M,
C20a1nW07609_76,146.007273,0.54577,J2000,0,8100,M,
C20a1nW07609_77,146.008394,0.54741,J2000,0,9000,M,
C20a1nW07609_78,146.006413,0.547934,J2000,0,5400,M,
C20a1nW07609_79,146.006181,0.550156,J2000,0,3600,M,
C20a1nW07609_80,146.013274,0.55711,J2000,0,3600,M,
