obj_id,ra,dec,equinox,priority,exptime,resolution,comment
star_ishi_0,260.195654,57.76145,J2000,0,5400,M,
star_ishi_1,260.04048,57.77481,J2000,0,5400,M,
star_ishi_2,260.071181,57.77798,J2000,0,5400,M,
star_ishi_3,260.683953,58.13015,J2000,0,5400,M,
star_ishi_4,260.692722,58.13225,J2000,0,5400,M,
star_ishi_5,260.700114,58.12949,J2000,0,5400,M,
star_ishi_6,260.709597,58.12572,J2000,0,5400,M,
star_ishi_7,260.722873,58.13083,J2000,0,5400,M,
star_ishi_8,260.362268,57.65391,J2000,0,5400,M,
star_ishi_9,260.380637,57.65332,J2000,0,5400,M,
star_ishi_10,260.54132,58.23626,J2000,0,5400,M,
star_ishi_11,260.802183,57.66492,J2000,0,5400,M,
star_ishi_12,260.814608,57.66459,J2000,0,5400,M,
star_ishi_13,260.184826,57.8166,J2000,0,5400,M,
star_ishi_14,260.18928,57.81667,J2000,0,5400,M,
star_ishi_15,260.197278,57.82241,J2000,0,5400,M,
star_ishi_16,260.208028,57.82402,J2000,0,5400,M,
star_ishi_17,260.270127,58.03361,J2000,0,5400,M,
star_ishi_18,260.272922,58.03984,J2000,0,5400,M,
star_ishi_19,260.277098,58.03761,J2000,0,5400,M,
star_ishi_20,260.286278,58.03664,J2000,0,5400,M,
star_ishi_21,260.188378,58.24704,J2000,0,5400,M,
star_ishi_22,260.229893,58.24943,J2000,0,5400,M,
star_ishi_23,260.603063,57.84582,J2000,0,5400,M,
star_ishi_24,260.611966,57.8455,J2000,0,5400,M,
star_ishi_25,259.962202,57.91439,J2000,0,5400,M,
star_ishi_26,259.96392,57.90854,J2000,0,5400,M,
star_ishi_27,259.982976,57.91341,J2000,0,5400,M,
star_ishi_28,259.99022,57.90975,J2000,0,5400,M,
star_ishi_29,259.992717,57.90876,J2000,0,5400,M,
star_ishi_30,259.993315,57.91216,J2000,0,5400,M,
star_ishi_31,259.998426,57.91189,J2000,0,5400,M,
star_ishi_32,260.002919,57.90852,J2000,0,5400,M,
star_ishi_33,260.00397,57.90802,J2000,0,5400,M,
star_ishi_34,260.006628,57.91163,J2000,0,5400,M,
star_ishi_35,260.024091,57.90917,J2000,0,5400,M,
star_ishi_36,260.026081,57.90918,J2000,0,5400,M,
star_ishi_37,260.031056,57.90906,J2000,0,5400,M,
star_ishi_38,260.099851,57.9268,J2000,0,5400,M,
star_ishi_39,260.105293,57.92891,J2000,0,5400,M,
star_ishi_40,260.110689,57.92884,J2000,0,5400,M,
star_ishi_41,260.129731,57.92533,J2000,0,5400,M,
star_ishi_42,260.555175,57.56329,J2000,0,5400,M,
star_ishi_43,260.414693,57.5483,J2000,0,5400,M,
star_ishi_44,260.427406,57.54942,J2000,0,5400,M,
